CourseId,ProfName,Quarter,CRN
ART 125A,Emily Gui,202403,57110
ART 149,Beatriz Cortez,202403,57344
ART 152A,Robin Hill,202403,32140
ART 171,Jose Arenas,202403,32141
ART 224,The Staff,202403,57105
ART 290C,Graham Mcdougal,202403,32194
ART 290F,Shiva Ahmadi,202403,32195
ASA 001,Kai Wen Yang,202403,32228
ASA 001,Richard Kim,202410,22560
ASA 004,Mana Hayakawa,202403,32234
ASA 114,Richard Kim,202403,56649
ASA 141,Caroline Valverde,202403,57465
ASA 141,Caroline Valverde,202410,49641
ASA 150D,Ga Young Chung,202403,56651
ASA 155,Mark Jerng,202403,32266
ASA 189F,Caroline Valverde,202403,56653
ASA 189F,Caroline Valverde,202410,49643
AST 010G,Tucker Jones,202403,57408
AST 010G,Andrew Wetzel,202410,22624
AST 010L,Christopher Fassnacht,202403,32294
AST 010L,Christopher Fassnacht,202410,22625
AST 025,Christopher Fassnacht,202403,32297
ATM 111,Matthew Igel,202403,32330
ATM 111LY,Matthew Igel,202403,32331
ARE 200B,Andres Mauricio Carvajal Escobar,202401,12740
ARE 202B,Pierre Merel,202401,12741
ARE 204B,Richard Sexton,202401,12742
ARE 215B,Ashish Shenoy,202401,44698
ARE 232,Goodhue/Sexton,202401,12744
ARE 240A,Aaron Smith,202401,12745
ARE 240C,Bulat Gafarov,202401,12746
ARE 254,Mark Agerton,202401,44760
ARE 256B,Bulat Gafarov,202401,12747
ARE 275,Mark Agerton,202401,44761
ARE 293,Rachael Goodhue,202401,12749
EAE 129,Zhaodan Kong,202401,19623
EAE 130A,Christina Harvey,202401,19624
EAE 135,Valeria La Saponara,202401,19625
EAE 138,Seongkyu Lee,202401,19626
EAE 142,Rich Whittle,202401,19627
EAE 143A,Stephen Robinson,202401,19628
TAE 020,Md Shamim Ahamed,202401,44768
AAS 010,Benjamin Weber,202403,30001
AAS 010,Angelo Williams,202410,20001
AAS 016,Elizabeth Mukiibi,202403,56941
AAS 016,Elizabeth Mukiibi,202410,49666
AAS 053,Milmon Harrison,202403,57273
AAS 080,Angelo Williams,202403,30003
AAS 107D,Elisa White,202403,30008
AAS 123,Elizabeth Mukiibi,202403,30009
AAS 123,Elizabeth Mukiibi,202410,49670
AAS 141,Leeza Reyburn,202403,30012
AAS 153,Moradewun Adejunmobi,202403,57219
AAS 183A,Benjamin Weber,202403,56944
AED 178,Kathryn Teixeira,202403,30584
AMS 001E,Javier Arbona-Homar,202403,56674
AMS 010,Grace Wang,202403,30769
AMS 010,Grace Wang,202410,20807
AMS 055,Audrey Russek,202403,30779
AMS 130,Eleftheria Arapoglou,202403,30803
AMS 139,Willa Smart,202403,56673
ARE 119,Chanaka Ekanayake,202403,31799
ARE 119,Chanaka Ekanayake,202410,22079
ARE 120,Eric Edwards,202403,57208
ARE 133,"Kristin Kiesel (she, her)",202403,31800
ARE 133,"Kristin Kiesel (she, her)",202410,49984
ARE 135,Jerry Lundblad,202403,31802
ARE 136,"Kristin Kiesel (she, her)",202403,31803
ARE 136,"Kristin Kiesel (she, her)",202410,49986
ARE 139,Jeffrey Williams,202403,31805
ARE 144,Eric Johnson,202403,31808
ARE 157,Jeffrey Williams,202403,31815
ARE 173,Jens Hilscher,202403,31824
ARE 175,Sara Sutherland,202403,31830
ARE 175,Matthew Reimer,202410,22112
ARE 200C,Giacomo Bonanno,202403,31972
ARE 202C,Matthew Reimer,202403,31973
ARE 214,Stephen Boucher,202403,57148
ARE 215C,Travis Lybbert,202403,57149
ARE 233,Rachael Goodhue,202403,31975
ARE 240B,Dalia Ghanem,202403,31976
ARE 240E,Oscar Jorda,202403,31977
ARE 240F,Colin Cameron,202403,31978
ARE 258,Travis Lybbert,202403,31979
ARE 271,Jens Hilscher,202403,31980
ARE 276A,Jessoe/Novan,202403,57220
ARE 276A,Kevin Novan,202410,49955
EAE 126,Mohamed Hafez,202403,36818
EAE 130B,Christina Harvey,202403,36819
EAE 143B,Sanjay Joshi,202403,36820
TAE 030,Ali Moghimi,202403,55708
AAS 052,Moradewun Adejunmobi,202410,49667
AAS 107A,Bettina Ng'weno,202410,20018
AAS 107C,Bettina Ng'weno,202410,20019
AAS 130,Lawrence Winn,202410,20021
AAS 152,Erin Gray,202410,49712
AAS 170,Erin Gray,202410,49713
AED 160,Kathryn Teixeira,202410,20553
AED 171,Kathryn Teixeira,202410,20554
AMS 101C,Charlotte Biltekoff,202410,49841
