,Name,Quality Rating,Total Ratings,Department,University,Would Take Again,Level of Difficulty,Link
52,L Jay Helms,3.9,135,Economics,University of California Davis,N/A,2.9,https://www.ratemyprofessors.com/professor/95866
53,Lynne Isbell,3.9,52,Anthropology,University of California Davis,77%,3,https://www.ratemyprofessors.com/professor/98496
54,Kimberly Nettles,3.1,39,Social Science,University of California Davis,25%,3,https://www.ratemyprofessors.com/professor/102090
55,Elizabeth Post,4.1,124,Psychology,University of California Davis,N/A,2.4,https://www.ratemyprofessors.com/professor/102149
56,Stuart Hill,3.8,123,Political Science,University of California Davis,N/A,3,https://www.ratemyprofessors.com/professor/103139
57,Geoff Schladow,4.1,11,Civil Engineering,University of California Davis,N/A,3.5,https://www.ratemyprofessors.com/professor/104896
58,Richard Spencer,4.1,18,Engineering,University of California Davis,N/A,3.5,https://www.ratemyprofessors.com/professor/106917
59,Dina Okamoto,3.0,28,Sociology,University of California Davis,N/A,3.8,https://www.ratemyprofessors.com/professor/107722
60,Steven Farmer,4.7,106,Science,University of California Davis,N/A,2.3,https://www.ratemyprofessors.com/professor/109831
61,Chris Tromborg,4.3,56,Psychology,University of California Davis,100%,2.1,https://www.ratemyprofessors.com/professor/112677
62,Clarence Major,3.0,30,English,University of California Davis,N/A,2.5,https://www.ratemyprofessors.com/professor/114782
63,Ken Burtis,4.8,7,Science,University of California Davis,100%,2.1,https://www.ratemyprofessors.com/professor/121161
64,Peter Armstrong,3.2,10,Science,University of California Davis,N/A,4.4,https://www.ratemyprofessors.com/professor/122085
65,Richard West,4.7,39,Mathematics,University of California Davis,N/A,2.6,https://www.ratemyprofessors.com/professor/122288
66,James Harding,5.0,6,Science,University of California Davis,100%,3.2,https://www.ratemyprofessors.com/professor/123116
67,Tom Gradziel,4.4,15,Agriculture,University of California Davis,100%,1.7,https://www.ratemyprofessors.com/professor/123122
68,Linda Egan,4.1,26,Languages,University of California Davis,N/A,3.4,https://www.ratemyprofessors.com/professor/123507
69,"Y.P. ""Ed"" Mack",1.8,59,Mathematics,University of California Davis,N/A,2.8,https://www.ratemyprofessors.com/professor/124867
70,Mark Sanders,3.2,126,Science,University of California Davis,N/A,3.3,https://www.ratemyprofessors.com/professor/124884
71,"E.O. ""Jack"" Milton",2.7,67,Mathematics,University of California Davis,N/A,4.2,https://www.ratemyprofessors.com/professor/124988
72,Joe Kiskis,3.0,39,Science,University of California Davis,N/A,4.1,https://www.ratemyprofessors.com/professor/124992
73,Tracey Johnson,1.9,30,Science,University of California Davis,0%,3.7,https://www.ratemyprofessors.com/professor/125101
74,Donna Knifong,3.6,17,Communication,University of California Davis,N/A,2.7,https://www.ratemyprofessors.com/professor/125265
75,Raju Pandey,4.0,18,Computer Science,University of California Davis,N/A,3.9,https://www.ratemyprofessors.com/professor/125266
76,D. Kern Holoman,3.7,86,Music,University of California Davis,100%,2.1,https://www.ratemyprofessors.com/professor/127944
